id,type_cable,origine_signal,type_reseau,fonction
cap_001,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_002,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_003,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_004,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_005,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_006,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_007,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_008,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_009,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_010,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_011,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_012,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTH,N/A
cap_013,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_014,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_015,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_016,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_017,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_018,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_019,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_020,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,P2P,N/A
cap_021,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_022,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_023,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_024,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_025,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_026,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_027,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_028,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_029,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_030,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_031,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_032,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_033,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_034,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_035,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_036,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,FTTLA,N/A
cap_037,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_038,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_039,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_040,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_041,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_042,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_043,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
cap_044,Fibre Optique Monomode G657.A2 Structure Serrée (Média FTTH),N/A,ADSL,N/A
